All measured points in VidSync project Porter_BACI_RoachRun_5July2018_Part1,,,,,,,,,,
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_2 11 (Omykiss),Length 130,0:00:09:03.41589/60000,543.693176,-39.297386,34.49522,24.358,0.141882,0.077972,107.786057,
Subsample_2 11 (Omykiss),Length 130,0:00:09:03.41589/60000,543.693176,-44.432503,33.414513,23.984541,0.145627,0.292664,109.057083,
Subsample_2 11 (Omykiss),Length 129,0:00:09:04.7615/60000,544.126892,-42.607086,30.307167,24.385405,0.141901,0.712393,105.443588,
Subsample_2 11 (Omykiss),Length 129,0:00:09:04.7615/60000,544.126892,-47.530251,28.585741,23.885477,0.140805,0.220035,106.290268,
Subsample_2 11 (Omykiss),Length 128,0:00:09:04.39647/60000,544.660767,-53.126015,24.50424,21.70603,0.109999,2.098917,105.890862,
Subsample_2 13 (Hsymmetricus),Drift_Forage 132,0:00:09:00.175/60000,540.00293,-0.227582,51.773323,24.704771,0.144274,0.159666,115.586182,
Subsample_2 13 (Hsymmetricus),Drift_Forage 133,0:00:09:03.175/60000,543.00293,0.018982,52.230942,24.262081,0.143411,0.508536,116.05233,
Subsample_2 13 (Hsymmetricus),Drift_Forage 134,0:00:09:06.175/60000,546.00293,-0.455181,51.955734,24.578178,0.144526,0.458769,115.784584,
Subsample_2 13 (Hsymmetricus),Drift_Forage 135,0:00:09:09.175/60000,549.00293,-0.304405,51.772877,24.561369,0.143486,1.17787,115.595764,
Subsample_2 13 (Hsymmetricus),Drift_Forage 136,0:00:09:12.175/60000,552.00293,-0.760986,46.740234,25.87409,0.131281,0.042144,110.542519,
Subsample_2 13 (Hsymmetricus),Drift_Forage 137,0:00:09:15.175/60000,555.00293,-0.10927,51.359646,24.389549,0.140483,0.819125,115.182487,
Subsample_2 13 (Hsymmetricus),Drift_Forage 138,0:00:09:18.175/60000,558.00293,0.12617,50.092434,24.548487,0.135764,0.110939,113.900017,
Subsample_2 13 (Hsymmetricus),Drift_Forage 140,0:00:09:24.175/60000,564.00293,-0.547168,51.660229,24.572815,0.1433,2.003004,115.494423,
Subsample_2 13 (Hsymmetricus),Drift_Forage 139,0:00:09:21.175/60000,561.00293,0.314742,53.708691,24.562485,0.151429,0.746909,117.50071,
Subsample_2 13 (Hsymmetricus),Drift_Forage 142,0:00:09:30.175/60000,570.00293,0.505925,51.663624,24.164457,0.139931,3.762837,115.47065,
Subsample_2 13 (Hsymmetricus),Drift_Forage 141,0:00:09:27.175/60000,567.00293,-0.192465,53.246334,24.451881,0.149191,2.988086,117.066025,
Subsample_3 12 (Omykiss),Drift_Forage 131,0:00:09:30.175/60000,570.00293,-31.468206,8.024176,1.039837,0.117676,1.007799,85.398239,
Subsample_2 13 (Hsymmetricus),Length 144,0:00:09:06.175/60000,546.00293,-0.326366,51.812874,24.815983,0.145214,1.142985,115.625328,
Subsample_2 13 (Hsymmetricus),Length 144,0:00:09:06.175/60000,546.00293,5.49534,51.631374,21.13073,0.121984,1.238486,115.537773,
Subsample_2 13 (Hsymmetricus),Length 143,0:00:09:21.175/60000,561.00293,0.601242,50.364304,24.782177,0.137844,1.262937,114.141068,
Subsample_2 13 (Hsymmetricus),Length 143,0:00:09:21.175/60000,561.00293,6.579564,49.882137,23.585192,0.12453,0.121815,113.640923,
Subsample_3 12 (Omykiss),Drift_Forage 148,0:00:09:42.175/60000,582.00293,76.92627,28.500526,1.995804,0.279697,0.092822,104.32914,
Subsample_3 12 (Omykiss),Drift_Forage 149,0:00:09:45.175/60000,585.00293,54.12558,26.768614,8.656313,0.168391,0.490715,94.299622,
Subsample_3 12 (Omykiss),Movement 146,0:00:09:36.175/60000,576.00293,62.200134,7.199972,3.156483,0.252462,2.727978,79.901276,
Subsample_3 12 (Omykiss),Movement 145,0:00:09:33.175/60000,573.00293,-6.756678,-4.935139,1.821438,0.118845,0.867997,66.066223,
Subsample_3 12 (Omykiss),Drift_Forage 147,0:00:09:39.175/60000,579.00293,83.637154,15.700305,-1.345196,0.202749,0.266752,97.454437,
Subsample_3 12 (Omykiss),Drift_Forage 150,0:00:09:48.175/60000,588.00293,61.321861,5.015829,6.702468,0.229299,0.176948,76.513092,
